Type	Question	Answer	Extra
Irregular Verbs	arise	arise arose arisen	levantarse, surgir
Irregular Verbs	awake	awake awoke awoken	despertarse
Irregular Verbs	be	be was/were been	ser, estar
Irregular Verbs	bear	bear bore born	soportar, llevar
Irregular Verbs	beat	beat beat beaten	golpear, vencer
Irregular Verbs	become	become became become	llegar a ser, convertirse
Irregular Verbs	begin	begin began begun	empezar
Irregular Verbs	bend	bend bent bent	doblar,flexionar
Irregular Verbs	bet	bet bet bet	apostar
Irregular Verbs	bind	bind bound bound	vendar,encuadernar
Irregular Verbs	bite	bite bit bitten	morder
Irregular Verbs	bleed	bleed bled bled	sangrar
Irregular Verbs	blow	blow blew blown	soplar
Irregular Verbs	break	break broke broken	romper
Irregular Verbs	bring	bring brought brought	traer,llevar
Irregular Verbs	broadcast	broadcast broadcast broadcast	emitir
Irregular Verbs	built	build built built	construir
Irregular Verbs	buy	buy bought bought	comprar
Irregular Verbs	cast	cast cast cast	echar, arrojar
Irregular Verbs	catch	catch caught caught	coger, atrapar
Irregular Verbs	choose	choose chose chosen	elegir
Irregular Verbs	cling	cling clung clung	aferrarse, agarrarse
Irregular Verbs	come	come came come	venir
Irregular Verbs	cost	cost cost cost	costar
Irregular Verbs	creep	creep crept crept	deslizarse, trepar
Irregular Verbs	cut	cut cut cut	cortar
Irregular Verbs	deal	deal dealt dealt	tratar
Irregular Verbs	dig	dig dug dug	cavar, excavar
Irregular Verbs	do	do did done	hacer
Irregular Verbs	draw	draw drew drawn	dibujar
Irregular Verbs	dream	dream dreamt dreamt	soñar
Irregular Verbs	drink	drink drank drunk	beber
Irregular Verbs	drive	drive drove driven	conducir
Irregular Verbs	dwell	dwell dwelt dwelt	morar
Irregular Verbs	eat	eat ate eaten	comer
Irregular Verbs	fall	fall fell fallen	caer
Irregular Verbs	feed	feed fed fed	alimentar
Irregular Verbs	feel	feel felt felt	sentir
Irregular Verbs	fight	fight fought fought	luchar
Irregular Verbs	find	find found found	encontrar
Irregular Verbs	fit	fit fit fit	encajar, ajustar
Irregular Verbs	flee	flee fled fled	huir
Irregular Verbs	fling	fling flung flung	arrojar
Irregular Verbs	fly	fly flew flown	volar
Irregular Verbs	forbid	forbid forbade forbidden	prohibir
Irregular Verbs	forecast	forecast forecast forecast	prever, predecir
Irregular Verbs	forget	forget forgot forgotten	olvidar
Irregular Verbs	freeze	freeze froze frozen	congelar(se)
Irregular Verbs	get	get got got	obtener
Irregular Verbs	give	give gave given	dar
Irregular Verbs	go	go went gone	ir
Irregular Verbs	grow	grow grew grown	crecer, cultivar
Irregular Verbs	hang	hang hung hung	colgar
Irregular Verbs	have	have had had	tener
Irregular Verbs	hear	hear heard heard	oir
Irregular Verbs	hide	hide hid hidden	ocultar(se)
Irregular Verbs	hit	hit hit hit	golpear
Irregular Verbs	hold	hold held held	sostener, coger
Irregular Verbs	hurt	hurt hurt hurt	herir
Irregular Verbs	keep	keep kept kept	guardar, quedarse
Irregular Verbs	kneel	kneel knelt knelt	arrodillarse
Irregular Verbs	knit	knit knit knit	tejer, hacer-punto
Irregular Verbs	know	know knew known	saber, conocer
Irregular Verbs	lay	lay laid laid	colocar, poner
Irregular Verbs	lead	lead led led	guiar, llevar
Irregular Verbs	lean	lean leant/leaned leant/leaned	apoyar(se)
Irregular Verbs	leap	leap leapt/leaped leapt/leaped	saltar
Irregular Verbs	learn	learn learnt/learned learnt/learned	aprender
Irregular Verbs	leave	leave left left	dejar, salir
Irregular Verbs	lend	lend lent lent	prestar
Irregular Verbs	let	let let let	dejar, permitir
Irregular Verbs	lie	lie lay lain	estar tumbado
Irregular Verbs	light	light lit lit	encender
Irregular Verbs	lose	lose lost lost	perder
Irregular Verbs	make	make made made	hacer, fabricar
Irregular Verbs	mean	mean meant meant	significar
Irregular Verbs	meet	meet met met	encontrarse, conocer
Irregular Verbs	mow	mow mowed mown/mowed	cortar, segar
Irregular Verbs	pay	pay paid paid	pagar
Irregular Verbs	prove	prove proved proven/proved	probar, demostrar
Irregular Verbs	put	put put put	poner
Irregular Verbs	quit	quit quit quit	dejar
Irregular Verbs	read	read read/red/ read/red	leer
Irregular Verbs	ride	ride rode ridden	montar, cabalgar
Irregular Verbs	ring	ring rang rung	sonar - tocar timbre - teléfono
Irregular Verbs	rise	rise rose risen	levantarse
Irregular Verbs	run	run ran run	correr
Irregular Verbs	saw	saw sawed sawn/sawed	serrar
Irregular Verbs	say	say said said	decir
Irregular Verbs	see	see saw seen	ver
Irregular Verbs	seek	seek sought sought	buscar
Irregular Verbs	sell	sell sold sold	vender
Irregular Verbs	send	send sent sent	enviar
Irregular Verbs	set	set set set	poner
Irregular Verbs	sew	sew sewd sewn/sewed	coser
Irregular Verbs	shake	shake shook shaken	agitar
Irregular Verbs	shear	shear sheared shorn/sheared	esquilar
Irregular Verbs	shed	shed shed shed	verter, derramar
Irregular Verbs	shine	shine shone shone	brillar
Irregular Verbs	shoot	shoot shot shot	disparar,filmar
Irregular Verbs	show	show showed shown	mostrar
Irregular Verbs	shrink	shrink shrank shrunk	encoger(se)
Irregular Verbs	shut	shut shut shut	cerrar
Irregular Verbs	sing	sing sang sung	cantar
Irregular Verbs	sink	sink sank sunk	hundir(se)
Irregular Verbs	sit	sit sat sat	sentarse
Irregular Verbs	sleep	sleep slept slept	dormir
Irregular Verbs	slide	slide slid slid	resbalarse
Irregular Verbs	sling	sling slung slung	tirar, arrojar
Irregular Verbs	smell	smell smelt/smelled smelt/smelled	oler
Irregular Verbs	sow	sow sowed sown/sowed	sembrar
Irregular Verbs	speak	speak spoke spoken	hablar
Irregular Verbs	speed	speed sped/speeded sped/speeded	conducir a mucha velocidad
Irregular Verbs	spell	spell spelt/spelled spelt/spelled	deletrear
Irregular Verbs	spend	spend spent spent	gastar, pasar tiempo
Irregular Verbs	spin	spin spun/span spun	girar
Irregular Verbs	spit	spit spit/spat spit/spat	escupir
Irregular Verbs	spill	spill spilt/spilled spilt/spilled	derramar
Irregular Verbs	split	split split split	dividir
Irregular Verbs	spoil	spoil spoilt spoilt	estropear
Irregular Verbs	spread	spread spread spread	extender, untar
Irregular Verbs	spring	spring sprang sprung	brotar, nacer
Irregular Verbs	stand	stand stood stood	estar de pie
Irregular Verbs	steal	steal stole stolen	robar
Irregular Verbs	stick	stick stuck stuck	pegar, encajarse
Irregular Verbs	stink	stink stank stunk	apestar
Irregular Verbs	strike	strike struck struck	golpear
Irregular Verbs	sting	sting stung stung	picar (insecto)
Irregular Verbs	strive	strive strove striven	esforzarse, luchar
Irregular Verbs	swear	swear swore sworn	jurar
Irregular Verbs	swept	sweep swept swept	barrer
Irregular Verbs	swell	swell swelled swollen/swelled	hinchar(se)
Irregular Verbs	swim	swim swam swum	nadar
Irregular Verbs	swing	swing swung swung	balancear
Irregular Verbs	take	take took taken	coger
Irregular Verbs	teach	teach taught taught	enseñar
Irregular Verbs	tear	tear tore torn	rasgar
Irregular Verbs	tell	tell told told	decir
Irregular Verbs	think	think thought thought	pensar
Irregular Verbs	throw	throw threw thrown	lanzar
Irregular Verbs	thrust	thrust thrust thrust	empujar
Irregular Verbs	tread	tread trod trodden	pisar
Irregular Verbs	understund	understand understood understood	comprender
Irregular Verbs	wake	wake woke woken	despertar(se)
Irregular Verbs	wear	wear wore worn	llevar puesto
Irregular Verbs	weave	weave wove woven/weaved	tejer
Irregular Verbs	weep	weep wept wept	llorar
Irregular Verbs	wet	wet wet/wetted wet/wetted	mojar
Irregular Verbs	win	win won won	ganar
Irregular Verbs	wind	wind wound wound	enrollar, dar cuerda
Irregular Verbs	wring	wring wrung wrung	torcer, retorcer
Irregular Verbs	write	write wrote written	escribir
